   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.904        1.763
         2                   0.910        1.370
         3                   0.895        0.577
         4                   0.888        0.559
         5                   0.914        0.533
         6                   0.952        0.866
         7                   1.016        0.691
         8                   0.936        0.948
         9                   1.272        1.907
        10                   1.590        0.638
        11                   1.710        0.677
        12                   2.312        0.620
        13                   3.142        1.623
        14                   2.453        0.422
        15                   2.724        1.210
        16                   2.872        1.181
        17                   2.773        0.361
        18                   2.967        0.545
        19                   3.012        1.262
        20                   2.868        1.258
        21                   0.961        1.103
        22                   0.983        1.049
        23                   0.950        0.430
        24                   1.024        0.714
