  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.574            0      325.612      147.647      192.228
        1        0.936        5.444            0      327.607       91.422      208.553
        2        0.863        5.579            0      325.233       74.756      203.506
        3        0.778        5.580            0      328.486       95.548      209.533
        4        0.977        5.359            0      324.980       88.509      207.607
        5        0.921        5.535            0      326.891       77.548      204.237
        6        1.033        5.653            0      326.069      110.402      204.132
        7        0.835        5.656            0      329.640       96.034      204.336
        8        0.880        5.563            0      326.157       82.792      204.366
        9        0.860        5.542            0      327.931       88.328      209.368
       10        0.961        5.411            0      328.171       88.737      212.454
       11        0.951        5.553            0      324.618      100.325      205.631
       12        0.927        5.574            0      328.231       96.561      203.733
       13        0.887        5.614            0      328.838       86.089      207.963
       14        0.900        5.615            0      326.532       77.153      205.088
       15        1.048        5.482            0      324.942       92.748      203.117
       16        1.168        5.473            0      327.935       77.588      204.467
       17        0.884        5.601            0      328.454       95.161      209.424
       18        0.918        5.481            0      327.585       99.459      212.506
       19        0.760        5.582            0      328.834       97.233      208.217
       20        1.104        5.439            0      325.786       73.600      209.134
       21        0.878        5.573            0      325.975       88.327      208.368
       22        1.038        5.436            0      325.893       68.710      211.882
       23        0.816        5.622            0      324.974       82.861      204.995
       24        0.879        5.574            0      326.683       81.848      205.278
       25        0.894        5.666            0      329.671      100.361      206.334
       26        0.809        5.464            0      326.589       75.375      210.326
       27        0.912        5.390            0      328.083       63.575      206.793
       28        0.935        5.438            0      326.424       90.825      214.124
       29        0.870        5.566            0      329.231      120.936      210.617
       30        0.688        5.436            0      324.504      147.943      206.793
       31        0.759        5.538            0      325.565      110.686      206.928
       32        0.793        5.436            0      325.383      125.372      203.179
       33        0.738        5.451            0      322.637      112.880      203.396
       34        0.825        5.526            0      325.465      105.609      204.992
       35        0.820        5.552            0      327.221       86.746      207.646
       36        0.735        5.547            0      328.549       83.467      206.282
       37        0.948        5.659            0      325.297       85.612      203.504
       38        0.848        5.666            0      327.252       98.743      209.387
       39        0.960        5.608            0      327.635       96.447      207.142
       40        0.992        5.573            0      323.917       97.196      204.510
       41        0.664        5.610            0      326.326      110.431      205.562
       42        0.871        5.642            0      326.651       78.770      207.417
       43        0.888        5.508            0      324.895       91.041      206.393
       44        0.957        5.544            0      327.144       99.634      211.407
       45        0.922        5.640            0      328.448       83.001      208.512
       46        0.994        5.478            0      324.795       80.298      208.270
       47        1.028        5.496            0      328.656       83.000      212.172
       48        0.836        5.683            0      330.256       92.336      207.738
       49        0.982        5.658            0      329.147      102.606      206.542
       50        0.938        5.642            0      326.465      105.755      202.001
       51        0.768        5.605            0      326.071       89.893      209.185
       52        0.871        5.554            0      325.613       93.628      207.035
       53        0.855        5.585            0      328.939       82.995      209.606
