   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.778        0.636
         2                   0.786        0.430
         3                   0.740        0.197
         4                   0.748        0.274
         5                   0.735        0.210
         6                   0.769        0.330
         7                   0.772        0.334
         8                   0.803        0.400
         9                   0.867        0.585
        10                   0.860        0.445
        11                   0.914        0.475
        12                   1.164        0.443
        13                   1.611        1.066
        14                   1.191        0.257
        15                   1.773        1.212
        16                   1.852        1.157
        17                   1.413        0.340
        18                   1.602        0.581
        19                   1.744        1.276
        20                   1.667        1.212
        21                   0.751        0.401
        22                   0.777        0.488
        23                   0.759        0.304
        24                   0.829        0.496
