## Torsion are defined with the following atomIDs:
# dihed1: ai= 6428 aj= 6429 ak= 6430 al= 12551
# dihed2: ai= 6410 aj= 6409 ak= 6408 al= 6407
# dihed3: ai= 6427 aj= 6411 ak= 6412 al= 6413
# dihed4: ai= 6412 aj= 6413 ak= 6414 al= 6416
# dihed5: ai= 6413 aj= 6414 ak= 6416 al= 6417
# dihed6: ai= 6414 aj= 6416 ak= 6417 al= 6418
# dihed7: ai= 6416 aj= 6417 ak= 6418 al= 6419
# dihed8: ai= 6417 aj= 6418 ak= 6419 al= 12543
# dihed9: ai= 6419 aj= 6418 ak= 6420 al= 6421
# dihed10: ai= 6422 aj= 6423 ak= 6424 al= 12546
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
0  -35.103  -24.980  -25.384  163.520 -174.879 -119.466  -58.862   50.108  -93.933  -23.568
1  -16.704   16.883  -57.899 -176.983  178.061 -137.847  -67.704   31.653  -79.017    0.426
2  -21.198   17.271  -55.862  169.834  172.701 -114.654  -74.954   54.754  -70.955    9.199
3    6.644   -7.252  -30.552  151.953  179.670 -125.496  -66.440   40.241  -58.727 -165.710
4    6.275  -36.163  -35.674  158.677  176.445 -118.150  -68.918   29.228   87.865 -167.909
5  -15.663    1.254  -34.699  168.337  171.371 -140.190  -61.252   37.517  122.777  165.776
6   14.401  -13.521  -23.627  172.886  172.675 -132.933  -70.505   56.948  106.286  174.930
7   35.350   27.638  -30.152  172.882  178.708 -159.552  -54.527   88.090  110.602  -31.659
8  -41.731  -40.550  -44.909 -176.378  168.623 -121.819  -57.267   34.785   73.083  178.565
9   -4.363  -40.116  -32.447 -178.390 -172.133 -131.698  -71.683   44.993  100.488  -26.205
10   40.454  -27.004  -37.001 -176.803  170.189 -128.254  -71.831   49.494   93.228   24.765
11    1.387  -76.925  -38.537 -177.213 -174.166 -115.812  -60.743   45.229   85.349 -163.676
12   -5.100  -48.534  -37.140  176.545  164.810 -115.659  -63.399   81.561   85.936 -172.947
13  -36.990  -90.462  -14.203  155.516  171.756 -109.761  -60.578   32.826  102.120 -167.415
14  -10.230  -10.015  -64.841 -164.303  174.121 -151.124  -57.076   52.000  132.619 -174.423
15   -5.299  -82.877  -34.900  168.650 -164.248 -138.878  -69.713   49.713  136.297 -157.654
16  -43.624  -18.916  -29.336 -162.559  178.156  177.315  -54.575   34.375  125.875 -169.630
17  -26.177  -56.767  -21.063  178.866  178.859 -117.485  -71.681   64.520   79.898 -153.210
18   -1.319    0.295  -42.222  174.203  165.341 -121.530  -78.389   63.895  112.170  168.663
19   21.764  -47.703   -2.091 -179.348  171.051 -153.130  -62.250   93.038  112.276 -169.255
20    0.440   -6.647  -35.480 -166.864  173.629 -139.845  -64.836   37.384  102.940  176.168
21  -13.064  -94.855  -31.378 -162.780  175.399 -154.508  -49.470   74.150  111.915  171.878
22  -36.349  -99.674  -45.490 -158.631  177.711 -115.139  -56.267   54.545  120.237  174.885
23  -84.233  -64.092  -33.012 -173.373  177.998 -128.797  -59.619   47.724   83.773 -162.672
24   10.190  -94.685  -13.787  166.502  172.979 -125.644  -63.224   50.305  128.670 -171.149
25   -5.497 -115.167  -10.387 -171.383 -176.396  -87.305  -66.056   53.752   71.706  165.452
26  -83.440  -78.643  -28.297 -177.746  173.120 -154.517  -63.249   64.709  156.694 -168.813
27   17.506  -87.495  -35.154 -178.542  176.476 -112.360  -64.298   80.874  101.072  179.757
28  -22.577  -78.430  -15.498  174.757  173.635 -107.713  -60.003   48.904   89.411  178.278
29 -111.843  -62.591  -27.001 -168.730 -178.712 -112.711  -48.999   44.055   65.647 -169.882
30   -0.406  -99.535  -21.960  179.863  178.327  -68.045  -52.698   17.397   33.000  178.758
31  -28.533  -38.816  -39.235  150.020  172.575  -81.927  -70.889   44.227   96.536 -173.740
32  -76.234  -52.139  -32.014 -178.624  178.115 -108.184  -66.470   60.391  128.952   -6.290
33  -20.600  -78.198  -23.474  165.986 -179.365  -99.769  -67.135   71.771   67.143 -164.998
34  -51.085  -63.135  -20.038 -157.429  176.962 -169.041  -62.742   70.759  119.103 -150.396
35  -51.658  -22.875  -27.770 -177.023  160.248 -143.034  -49.963   89.108  109.943  166.588
36   -2.945  -96.517  -31.609 -172.985  170.976 -104.477  -59.782   19.053  111.173  160.711
37  -64.863  -62.082  -24.266 -168.431  176.000 -136.851  -57.637   44.570  130.720 -142.394
38    0.551  -88.997  -29.401 -155.556  168.562 -150.384  -70.932   69.320  132.068  164.472
39   -2.540  -90.550  -23.226 -140.799  175.017  178.553  -61.218   40.040  115.305  178.835
40    3.144  -68.829  -11.096 -169.536  172.306 -158.314  -54.613   65.643  113.690 -170.144
41   -4.946  -95.708  -30.704 -158.482  166.347 -148.106  -63.888   62.589   97.011 -143.660
42    1.161  -70.375    0.364  178.098 -179.449 -164.309  -58.293   57.439  106.929  -15.234
43  -68.220  -65.786   20.341  168.780  171.767 -160.563  -61.123   52.922  107.016  154.873
44  -48.286  -77.939  -30.188 -157.669 -171.784 -139.008  -77.615   64.736   70.048 -176.716
45  -11.849  -69.072  -25.975 -165.758  177.977 -155.810  -58.676   57.037  102.138 -176.779
46  -79.838  -71.860  -22.744 -145.710 -178.974 -169.348  -57.175   28.619   83.524 -153.595
47   -2.347  -89.963  -24.263 -163.195  161.654 -134.292  -54.208   54.054  118.890 -179.012
48    0.318  -75.817  -16.306 -162.159  175.026 -165.234  -65.246   42.683  115.991  155.523
49  -67.737  -29.633  -23.398 -166.367  173.935 -167.206  -65.445   58.648  102.780 -169.392
50  -82.380  -74.556  -31.549 -141.520  173.608 -151.421  -64.726   49.712   85.207 -169.476
51  -77.852  -73.582    1.429 -166.462  174.354 -169.316  -61.034   62.453  101.442  176.466
52  -37.386  -55.422  -17.842 -166.293 -177.739 -144.492  -57.369   42.278   88.737 -155.043
53  -36.204  -43.111  -29.735 -175.953 -174.419 -145.289  -65.796   74.763  122.713  179.438
54   -9.531  -96.602  -22.922 -174.129  170.292 -125.293  -55.719   47.258   97.088  153.312
55    7.309  -96.101    3.207 -160.486  171.244 -153.045  -53.368   46.730  103.943 -179.188
56  -68.923  -88.464  -33.723 -176.573  166.106  -65.369  -47.374  -16.144   58.752  149.576
57  -76.046  -88.958  -16.743 -169.504  176.069 -143.731  -68.241   49.234   84.070 -170.067
58  -62.416  -90.493  -30.959 -162.404 -178.788 -155.680  -60.308   64.406  118.326  177.873
59  -84.633  -96.451  -11.335 -162.155  170.704 -144.809  -66.096   38.202   93.140  176.766
60   13.469 -101.206  -16.169 -163.553 -179.607  179.456  -70.561   52.985   93.867 -150.616
61    9.215  -97.115  -40.715 -150.359 -176.374 -157.802  -53.509   34.195   91.449  177.609
62  -25.987  -93.879   -6.424  153.118  172.929  -99.852  -64.857   66.203  109.120 -154.038
63  -74.811  -66.178  -17.708 -167.207  179.701 -165.772  -66.522   47.217  126.175  148.420
64  -81.960  -44.386  -13.980  177.320  173.867 -145.210  -57.545   50.377  119.489   12.771
65  -21.330  -67.431  -10.247 -173.597  177.725 -172.930  -62.301   45.992  149.115  -12.118
66 -103.273  -79.034  -30.684 -161.528  170.188 -148.115  -50.692   68.354  131.472  173.197
67  -31.462  -74.122  -12.443 -166.899  176.943 -152.033  -71.439   65.190  106.382  178.416
68    9.010  -90.792    0.937  171.193  172.232 -149.940  -81.546   44.344  101.880 -178.903
69   -8.912  -70.430  -19.062 -174.881  174.221 -121.172  -68.090   43.556   95.613 -170.615
70  -20.989  -86.478  -10.988 -165.537 -177.652 -154.310  -72.938   52.845  109.353  152.822
71  -20.265  -93.721  -10.419 -161.311  163.710 -158.604  -73.497   51.405   96.470  161.894
72  -89.216  -82.984   22.295 -179.171 -177.640 -168.098  -67.938   64.605  118.402 -173.714
73  -94.641  -95.477  -26.871 -139.265 -165.121 -147.222  -57.887   56.635  100.215  177.630
74 -108.501  -55.944   -3.802 -148.950 -174.896  164.400  -62.228   61.694  115.182  -42.761
75  -76.266  -74.896  -10.985 -174.828  179.001 -142.845  -55.439   64.253   74.223  177.127
76  -53.333  -37.408  -32.198 -164.725  175.280 -133.781  -66.397   54.738   92.954 -176.487
77  -66.036 -105.241    8.523  179.644  165.368 -166.993  -63.635   61.683  130.879  177.452
78 -103.207 -104.122   -7.343  174.619  164.869 -140.090  -47.672   42.618  114.440 -132.829
79  -88.231  -40.657  -14.252  167.117  170.718 -136.668  -56.842   65.376   80.700  154.447
80  -62.409  -78.390    3.044  149.810  178.159 -125.555  -64.494   66.695  116.685  171.885
81  -37.983   -0.699  -37.272  154.028  173.931  -92.623  -61.960   20.258  128.888   19.153
82  -77.251  -64.862  -22.220 -177.053 -175.543 -151.134  -68.642   67.176  127.099  157.792
83  -42.043  -46.724   -6.947  179.573  166.162 -154.906  -68.783   84.160  105.915 -168.774
84  -55.876  -50.294  -28.230  160.841  176.274 -153.026  -44.362   64.959  101.145  160.366
85  -53.201  -43.541  -35.530  170.606  176.133 -120.718  -66.603   68.211  101.770 -151.081
86 -115.400  -80.948    4.095  176.539 -177.607 -137.921  -73.220   47.529  134.092  168.778
87  -45.644   -9.791  -15.284 -178.791  172.696 -154.006  -65.281   52.789   66.617 -134.710
88  -61.341  -61.652  -32.199 -174.471  169.039 -145.742  -55.228   67.001  123.109   47.569
89   -7.110   15.318  -16.772 -174.696  171.643  155.347  -61.124   56.448  140.085  165.843
90  -59.950  -84.031  -11.770  165.806  175.717 -125.162  -70.265   50.704  107.249 -168.615
91  -99.320  -49.682   13.584  173.211  173.389 -152.696  -69.254   57.543  121.873 -155.764
92  -39.805   24.993  -53.984 -166.543  179.634 -179.462  -47.897   62.950  126.482 -177.224
93  -51.148  -85.477    7.948  173.421  179.295 -174.528  -60.915   47.770  133.374 -168.600
94  -39.878  -67.421   -4.842  171.101  171.784 -138.850  -66.864   61.549  136.722   -0.448
95  -68.441  -37.763   -0.026  168.841  168.316 -154.899  -59.598   69.229  140.458   -8.761
96  -89.202  -65.394  -14.130 -162.016 -172.212 -140.423  -61.969   77.730  132.345  173.133
97 -104.362  -45.001  -31.734 -158.131 -173.263 -126.551  -56.442   39.396  107.243 -157.860
98  -46.308  -74.339   -7.529  170.184  177.948 -131.897  -61.233   53.303  107.670 -176.926
99  -62.543  -19.969  -18.129  174.814  163.564 -145.700  -68.635   74.951  114.813 -160.834
100    1.020  -75.042  -14.027 -150.468 -170.627 -176.776  -69.055   51.491  125.956  178.889
101    7.311 -105.905   -8.954  175.849 -177.549 -155.412  -61.704   55.082  129.236 -175.685
102  -21.163  -96.021   -4.979 -162.883  173.560 -155.144  -62.825   31.720   95.766 -163.671
103  -19.301 -112.798  -11.062 -175.405  169.857 -130.238  -65.355   68.324   99.437 -171.584
104    3.062 -118.126  -44.445 -147.866 -179.804 -154.047  -61.866   59.482  136.127 -172.354
105  -13.068 -105.736  -22.559 -156.491  167.321 -149.976  -61.482   57.811  117.258  178.041
106    4.795  -98.938  -20.755 -170.362 -179.571 -144.187  -59.011   48.004   97.612 -161.096
107   -7.138  -76.210  -13.317 -158.230  175.146 -171.121  -52.468   50.032  142.640 -175.584
108  -18.773  -70.542  -24.461 -143.596  176.402 -175.503  -66.963   41.275  123.319  171.294
109  -12.564  -84.630    0.046  162.165  177.231 -134.423  -58.667   61.524  131.564  156.189
110   -9.739  -88.568    1.001  176.166  175.823 -152.568  -62.596   79.439  154.030 -172.585
111  -39.069  -91.207   -5.135 -172.398  167.000 -173.706  -48.955   61.157  123.461 -162.642
112  -86.598  -91.447   -9.016 -174.203  166.816 -123.048  -66.010   52.206  104.899 -179.589
113  -59.523  -70.160   -6.703  178.433  174.573 -141.752  -59.370   67.881  102.699  178.232
114    3.580  -65.693  -16.274 -166.953  176.419 -152.297  -72.828   61.453  106.646  177.003
115   -7.093 -113.769  -17.026 -162.415  176.709 -160.329  -45.512   56.929  103.119  -23.666
116   24.170  -95.319  -18.895  170.940 -179.067 -112.052  -77.939   52.521   98.833  167.798
117   -4.305 -102.516  -14.116 -177.325  171.273 -117.639  -65.223   62.376  100.382  173.752
118  -75.643  -53.097  -14.590  174.776  170.495  -98.426  -69.949   66.934  101.611  178.768
119   -5.887  -71.045  -24.912 -176.243  176.084 -114.282  -63.461   49.284  133.221   -4.754
120  -51.858    9.131  -47.668 -166.637  167.354 -141.489  -59.913   57.336  120.065 -161.453
121  -21.264  -81.054  -19.426 -159.799 -176.494 -154.312  -67.796   45.022  123.147  145.927
122  -33.270  -81.808  -30.036 -160.079 -179.399 -135.369  -59.557   52.462  125.152    5.448
123   -9.859 -104.274  -45.950 -164.687  165.255 -106.486  -66.436   76.303   54.417   -0.531
124   -0.903 -105.444  -14.229 -166.128 -168.244 -166.100  -71.417   63.727  125.884   21.516
125  -12.067  -98.142  -20.896 -178.033 -173.939 -140.362  -51.031   42.619  120.573 -168.659
126  -11.612 -100.918  -13.497 -163.523  172.409 -144.307  -72.338   47.306   88.165  173.641
127  -29.749  -86.143    3.997 -160.203  166.922 -161.000  -66.230   61.616  108.794 -174.959
128    1.242  -51.025  -19.987  172.496  177.944 -121.466  -51.143   47.506   87.899 -147.593
129    5.900  -85.694  -30.707 -164.084  160.903 -146.483  -49.390   49.603   95.056  160.261
130   -2.931 -102.683   -3.257 -169.800  172.071  167.765  -55.722   57.018  131.951 -174.248
131    1.296 -111.389   -4.797  179.098  168.468 -146.069  -55.094   31.114   95.678  179.030
132   -4.128  -94.780   17.533 -169.304  165.799 -142.646  -52.845   25.863   92.612  178.640
133    8.398  -81.661  -21.590 -156.854  164.855 -147.047  -56.505   67.706   90.643 -160.807
134   -3.941  -99.930  -26.229 -159.836  169.208 -141.723  -50.930   55.815   91.817 -151.398
135  -20.271  -90.846    7.087 -164.976  167.119 -164.714  -67.910   58.191  117.968 -157.762
136  -28.744 -112.986  -18.870 -172.871  159.567 -122.327  -57.071   64.477   62.425 -158.990
