  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.570            0      324.963      108.120      207.356
        1        0.456        5.551            0      328.309       89.822      202.444
        2        0.495        5.423            0      326.318      103.244      208.314
        3        0.384        5.561            0      329.884      101.750      209.133
        4        0.309        5.591            0      327.493       88.389      206.821
        5        0.497        5.477            0      326.965       80.575      203.673
        6        0.469        5.591            0      328.887       96.900      205.300
        7        0.312        5.634            0      327.460       89.082      203.425
        8        0.580        5.471            0      328.643       70.342      209.640
        9        0.399        5.464            0      326.536       81.828      210.748
       10        0.433        5.452            0      329.120       67.266      211.698
       11        0.261        5.543            0      327.263       83.789      207.062
       12        0.562        5.489            0      328.170       65.738      211.076
       13        0.392        5.529            0      325.530       89.818      205.731
       14        0.393        5.555            0      328.037       92.304      204.896
       15        0.491        5.515            0      326.685       84.265      210.254
       16        0.422        5.514            0      327.636       90.113      208.235
       17        0.291        5.542            0      326.551       92.813      208.094
       18        0.545        5.377            0      327.299       70.468      210.799
       19        0.375        5.667            0      330.269       93.947      207.097
       20        0.608        5.511            0      327.759       77.427      202.166
       21        0.394        5.596            0      327.196       83.135      208.485
       22        0.457        5.594            0      329.044      109.766      205.608
       23        0.376        5.583            0      328.340      102.387      206.163
       24        0.393        5.653            0      327.680      111.830      205.993
       25        0.570        5.739            0      329.567      114.666      202.551
       26        0.660        5.464            0      324.844       98.220      207.322
       27        0.376        5.579            0      327.615      108.377      203.737
       28        0.330        5.487            0      325.147      102.113      208.650
       29        0.342        5.530            0      326.313      111.452      207.583
       30        0.530        5.602            0      326.618      105.702      198.280
       31        0.337        5.472            0      327.498       92.914      206.832
       32        0.593        5.462            0      326.554      100.491      205.853
       33        0.278        5.541            0      324.825      107.080      205.176
       34        0.448        5.648            0      330.795      114.545      208.452
       35        0.403        5.583            0      326.311       93.992      197.702
       36        0.528        5.584            0      328.072      112.587      209.144
       37        0.414        5.631            0      330.050      119.664      207.378
       38        0.661        5.521            0      326.902       84.144      206.049
       39        0.641        5.530            0      326.103       86.761      208.870
       40        0.371        5.639            0      327.960       70.155      206.061
       41        0.539        5.648            0      329.538       92.164      209.139
       42        0.304        5.640            0      325.317       90.901      209.052
       43        0.369        5.620            0      327.219      101.638      207.963
       44        0.401        5.614            0      328.778      112.888      207.664
       45        0.350        5.641            0      326.469       88.095      203.976
       46        0.498        5.666            0      329.474       72.380      208.756
       47        0.505        5.530            0      325.816       90.452      203.370
       48        0.427        5.625            0      327.878       71.059      211.210
       49        0.485        5.613            0      328.459       96.276      205.379
       50        0.751        5.527            0      329.704       86.283      212.690
       51        0.435        5.632            0      329.571      100.299      209.877
       52        0.384        5.626            0      328.691       90.131      208.103
       53        0.309        5.557            0      327.782       99.251      211.331
       54        0.419        5.653            0      327.039       99.900      203.554
       55        0.614        5.648            0      325.531       91.756      205.877
       56        0.618        5.515            0      324.509      102.507      199.031
       57        0.524        5.624            0      326.344       54.585      206.812
       58        0.381        5.655            0      329.711       91.497      206.596
       59        0.595        5.669            0      328.471       68.985      208.877
       60        0.605        5.721            0      330.374       73.108      206.469
       61        0.373        5.703            0      328.615       96.619      211.036
       62        0.472        5.533            0      328.067      113.003      208.032
       63        0.371        5.612            0      326.495       85.521      207.115
       64        0.384        5.561            0      326.776       95.011      206.017
       65        0.458        5.555            0      327.452      104.872      206.482
       66        0.510        5.634            0      327.799      114.166      205.051
       67        0.439        5.616            0      327.327       78.896      208.790
       68        0.601        5.542            0      328.406       83.127      213.062
       69        0.522        5.501            0      324.953       79.232      207.513
       70        0.430        5.632            0      329.645       74.308      207.887
       71        0.678        5.686            0      329.046       78.328      206.058
       72        0.527        5.629            0      328.638       91.666      207.920
       73        0.486        5.579            0      328.445       88.726      208.442
       74        0.547        5.653            0      329.900       96.580      211.729
       75        0.464        5.625            0      326.397       91.998      204.820
       76        0.414        5.612            0      330.442       78.961      210.159
       77        0.499        5.605            0      326.847       85.737      206.320
       78        0.404        5.653            0      328.583       91.266      213.575
       79        0.364        5.616            0      327.439       76.545      206.844
       80        0.352        5.593            0      329.106      102.116      208.481
       81        0.538        5.529            0      328.333      114.228      203.565
       82        0.420        5.586            0      326.235       86.737      203.082
       83        0.512        5.579            0      327.009       74.389      207.851
       84        0.417        5.627            0      327.456      112.247      204.561
       85        0.418        5.518            0      329.662       79.589      209.113
       86        0.479        5.571            0      326.054       90.778      206.447
       87        0.707        5.609            0      326.549       81.722      201.534
       88        0.411        5.631            0      328.419       95.824      208.183
       89        0.634        5.654            0      328.340       99.786      204.367
       90        0.411        5.589            0      328.819       87.974      212.489
       91        0.563        5.636            0      328.727       92.556      207.158
       92        0.495        5.593            0      327.660       77.799      204.816
       93        0.403        5.697            0      328.196       82.060      205.309
       94        0.447        5.577            0      327.597       89.588      212.960
       95        0.363        5.615            0      326.725       89.701      202.763
       96        0.488        5.596            0      327.947       93.248      204.754
       97        0.563        5.579            0      329.846       90.601      208.082
       98        0.286        5.523            0      324.325       95.002      207.630
       99        0.444        5.594            0      328.883       88.216      204.642
      100        0.481        5.580            0      326.694       84.727      206.393
      101        0.407        5.630            0      323.577       80.223      200.223
      102        0.491        5.625            0      326.073       82.480      209.915
      103        0.389        5.573            0      325.211       74.447      204.344
      104        0.492        5.623            0      328.053       73.101      203.183
      105        0.543        5.612            0      327.057       70.204      207.679
      106        0.432        5.575            0      327.209       70.992      208.891
      107        0.426        5.595            0      326.918       92.451      207.584
      108        0.648        5.520            0      325.890       80.348      206.169
      109        0.398        5.556            0      324.684       87.777      203.905
      110        0.555        5.621            0      328.203       95.393      205.999
      111        0.403        5.606            0      326.525       87.178      206.244
      112        0.466        5.560            0      325.220       88.566      204.888
      113        0.330        5.612            0      326.056       81.452      209.280
      114        0.423        5.516            0      325.878       89.563      207.497
      115        0.415        5.680            0      326.802       93.720      207.211
      116        0.416        5.578            0      326.595       90.087      208.566
      117        0.428        5.621            0      325.643       94.336      204.874
      118        0.540        5.496            0      327.392       88.070      208.336
      119        0.468        5.521            0      328.937      114.130      207.420
      120        0.535        5.520            0      329.190       84.693      208.824
      121        0.421        5.579            0      325.502      106.535      210.159
      122        0.444        5.577            0      327.513      100.877      204.303
      123        0.757        5.470            0      326.741       63.154      201.145
      124        0.505        5.639            0      329.126       92.493      209.195
      125        0.502        5.660            0      326.268       98.991      204.985
      126        0.575        5.619            0      326.964       71.798      205.203
      127        0.629        5.533            0      326.009       69.068      206.501
      128        0.214        5.578            0      324.089       91.470      206.630
      129        0.536        5.565            0      328.873       77.122      209.660
      130        0.528        5.686            0      328.840       86.111      201.771
      131        0.484        5.652            0      327.678       92.334      205.692
      132        0.551        5.699            0      329.563       96.147      202.704
      133        0.671        5.462            0      325.120       76.832      206.047
      134        0.528        5.632            0      329.762       84.060      210.159
      135        0.603        5.568            0      325.914       80.619      205.146
      136        0.633        5.632            0      326.211       79.869      201.177
      137        0.495        5.504            0      324.745      101.471      204.580
      138        0.490        5.562            0      326.389      100.132      202.222
      139        0.380        5.669            0      325.745       97.983      207.554
      140        0.422        5.652            0      327.906      109.102      208.621
      141        0.423        5.631            0      324.801       93.247      206.559
      142        0.526        5.649            0      324.906       87.647      205.572
      143        0.630        5.699            0      329.759       63.853      205.024
      144        0.493        5.664            0      327.603       75.136      205.857
      145        0.539        5.639            0      326.599       80.580      203.172
      146        0.505        5.648            0      328.806       94.984      208.615
      147        0.481        5.639            0      328.316      101.109      205.681
      148        0.424        5.671            0      327.937      115.460      207.553
      149        0.646        5.555            0      326.345       76.553      205.135
      150        0.476        5.627            0      326.722       80.486      205.096
      151        0.310        5.629            0      329.408       80.077      209.447
      152        0.496        5.553            0      324.557       77.409      209.066
      153        0.511        5.663            0      328.701       92.046      203.697
      154        0.479        5.617            0      328.355       86.129      207.958
      155        0.317        5.597            0      325.413       99.634      205.619
      156        0.559        5.649            0      328.157       94.949      205.789
      157        0.554        5.576            0      325.607      109.854      206.073
      158        0.577        5.565            0      326.593      104.013      205.035
      159        0.612        5.601            0      326.412       90.715      205.995
      160        0.547        5.502            0      324.965      105.299      204.788
      161        0.479        5.633            0      328.177       99.678      202.444
      162        0.485        5.643            0      326.983      120.718      206.425
      163        0.375        5.657            0      328.633      101.499      208.149
      164        0.367        5.591            0      325.901       81.901      206.723
      165        0.564        5.597            0      328.042       82.055      208.942
      166        0.487        5.651            0      326.948       78.971      204.044
      167        0.350        5.658            0      326.395       78.386      205.810
      168        0.432        5.519            0      324.634       78.849      204.521
      169        0.472        5.613            0      325.879       88.021      203.999
      170        0.405        5.568            0      327.226       77.411      210.617
      171        0.336        5.657            0      328.422       79.302      208.099
      172        0.625        5.632            0      327.344       74.466      209.655
      173        0.424        5.574            0      326.623       78.800      211.409
      174        0.342        5.623            0      324.933       66.241      207.792
      175        0.305        5.588            0      327.353       96.596      208.253
      176        0.317        5.658            0      326.644      100.575      206.283
      177        0.392        5.620            0      326.609      106.596      204.222
      178        0.467        5.574            0      328.456       94.922      204.226
      179        0.625        5.552            0      326.925      124.116      201.411
      180        0.401        5.558            0      328.761       79.945      207.956
